model,term,est,or,se,robust_se,z,p
bare,same_country,2.411304897092111,11.148499301923572,0.016178087951831586,0.03013303042035831,80.02198462797153,0
with_lang_prominence,same_country,1.7538809922460559,5.776979638692782,0.028989946982053337,0.04641768270795563,37.78475981407521,2.02205739449e-312
with_lang_prominence,shared_lang,0.7762771675568455,2.1733661080695543,0.02908142764121262,0.04647472833991551,16.70321043899741,1.2419854695180247e-62
with_lang_prominence,log_prior,0.2768501592510986,1.3189687209663845,0.005327432405744449,0.00779705269800457,35.50702681821689,3.8293510526326954e-276
