prize,subregion,sent,received,ratio,boot_lo,boot_hi,cross_sent,cross_received,p_dir_cross,total_volume,low_volume,ci_excludes_1
Chemistry,Northern America,986,1546,1.567951318458418,1.4130415476098541,1.764441240717012,232,792,4.3013139259549724e-72,2532,FALSE,TRUE
Chemistry,South-Eastern Asia,1,1,1,0,3,1,1,1,2,TRUE,FALSE
Chemistry,South America,53,52,0.9811320754716981,0.4787211311147482,2.6191964285714264,46,45,1,105,FALSE,FALSE
Chemistry,Western Europe,2152,2004,0.9312267657992565,0.8609946265267643,1.0105116994822878,696,548,3.0141266695443505e-5,4156,FALSE,FALSE
Chemistry,Western Asia,39,35,0.8974358974358975,0.3870784457478006,2.1000862068965507,33,29,0.7035366713552758,74,TRUE,FALSE
Chemistry,Northern Europe,1120,966,0.8625,0.7492186271619498,1.0020375568523578,636,482,4.590461699576177e-6,2086,FALSE,FALSE
Chemistry,Eastern Europe,282,230,0.8156028368794326,0.6894140300710266,0.9750025933609958,142,90,7.771346459499477e-4,512,FALSE,TRUE
Chemistry,Eastern Asia,81,54,0.6666666666666666,0.5272665847665847,0.8333333333333334,37,10,9.848878492846373e-5,135,FALSE,TRUE
Chemistry,Central America,5,3,0.6,0,1,2,0,0.5,8,TRUE,FALSE
Chemistry,Southern Europe,162,92,0.5679012345679012,0.4201048951048951,0.7633626469981432,112,42,1.5361489235286607e-8,254,FALSE,TRUE
Chemistry,Australia and New Zealand,60,21,0.35,0.16216216216216217,0.6071428571428571,50,11,4.5888312195062225e-7,81,TRUE,TRUE
Chemistry,Southern Asia,48,5,0.10416666666666667,0.025,0.22450255102040798,43,0,2.2737367544323226e-13,53,TRUE,TRUE
Chemistry,Northern Africa,17,1,0.058823529411764705,0,0.23529411764705882,16,0,3.051757812500002e-5,18,TRUE,TRUE
Chemistry,Sub-Saharan Africa,4,0,0,0,0,4,0,0.125,4,TRUE,TRUE
Literature,Central America,1,7,7,2,11,0,6,0.031249999999999997,8,TRUE,TRUE
Literature,Eastern Asia,9,24,2.6666666666666665,1.3571428571428572,13,1,16,2.7465820312500016e-4,33,TRUE,TRUE
Literature,South America,64,144,2.25,1.6666666666666667,3.1707317073170733,13,93,4.542762798571574e-16,208,FALSE,TRUE
Literature,Eastern Europe,147,316,2.1496598639455784,1.7516339869281046,2.711864406779661,21,190,3.0801632338656055e-35,463,FALSE,TRUE
Literature,Southern Asia,13,24,1.8461538461538463,1.1538461538461537,3.4285714285714284,0,11,9.765625e-4,37,TRUE,TRUE
Literature,Australia and New Zealand,20,36,1.8,1.2272727272727273,3.142857142857143,2,18,4.024505615234378e-4,56,TRUE,TRUE
Literature,Southern Europe,343,568,1.6559766763848396,1.4708556149732621,1.8872477970290331,25,250,7.3668267142228e-48,911,FALSE,TRUE
Literature,Northern Africa,10,16,1.6,1,3.5,2,8,0.10937499999999994,26,TRUE,FALSE
Literature,Western Europe,882,1052,1.1927437641723355,1.0829885178448484,1.320279847511153,245,415,3.733442540142e-11,1934,FALSE,TRUE
Literature,Sub-Saharan Africa,9,10,1.1111111111111112,0.23529411764705882,12,8,9,1,19,TRUE,FALSE
Literature,Central Asia,0,1,1,1,4,0,1,1,1,TRUE,FALSE
Literature,Western Asia,24,22,0.9166666666666666,0.6,1.5,11,9,0.8238029479980473,46,TRUE,FALSE
Literature,Northern America,347,285,0.8213256484149856,0.6683159326828566,1,193,131,6.784426987979803e-4,632,FALSE,FALSE
Literature,Caribbean,16,10,0.625,0.2,1.1666666666666667,10,4,0.17956542968750006,26,TRUE,FALSE
