prize,premium,model,term,est,se,z,p
Chemistry,5.131835716090611,with_language,same_country,1.6354634345673131,0.09595637839056684,17.043822015776392,3.8849268078294506e-65
Chemistry,2.4675356366179186,with_language,shared_lang,0.9032199346195551,0.1502484510260234,6.0115091267271374,1.838041619762877e-9
Literature,19.446049870405716,with_language,same_country,2.9676439579427347,0.3901014519929991,7.607364552941969,2.797414361504046e-14
Literature,2.308639217923606,with_language,shared_lang,0.8366582678060983,0.37412414148512324,2.236311894989988,0.02533134781518085
Peace,6.551416167116657,with_language,same_country,1.879681234997524,0.2202645682947008,8.533743077927191,1.4168730243820877e-17
Peace,1.9841307232302106,with_language,shared_lang,0.6851808954170189,0.12217169640098206,5.608343958556273,2.0427175270054523e-8
Physics,5.175284422926687,with_language,same_country,1.6438942985931517,0.23026139676155427,7.139252700249517,9.383968098582522e-13
Physics,1.7844101797039862,with_language,shared_lang,0.5790879290886896,0.1909000565112885,3.0334612763954123,0.0024176573726976784
Physiology/Medicine,7.259587990804653,with_language,same_country,1.9823230766484583,0.123084130293717,16.105431885638055,2.336608516718461e-58
Physiology/Medicine,3.9788609615268644,with_language,shared_lang,1.38099558776487,0.14726898727537502,9.377368672893615,6.763965057745775e-21
