from,p_from,to,p_to,expected,obs,o_minus_e,perm_lo,perm_hi,outside_null
Western Europe,0.39030335861321774,Northern Africa,0.0021668472372697724,21.856988082340195,5,-16.856988082340195,-4.8569880823401945,8.143011917659805,TRUE
Eastern Asia,0.013465407831605014,Southern Europe,0.05985915492957746,20.830985915492956,4,-16.830985915492956,-13.830985915492956,-0.8309859154929562,TRUE
Northern Europe,0.24651756694010216,South America,0.01984986844141774,126.46351184027242,110,-16.463511840272417,1.5364881597275826,37.53648815972758,TRUE
Northern Europe,0.24651756694010216,Western Asia,0.0038306763658876334,24.405239127070114,8,-16.405239127070114,-9.405239127070114,5.594760872929886,TRUE
Southern Europe,0.06546974152607955,Eastern Asia,0.010021668472372697,16.956663055254605,1,-15.956663055254605,-8.956663055254605,4.043336944745395,TRUE
Northern Africa,0.003637207862559975,Western Europe,0.3837254295000774,36.07019037300727,52,15.929809626992729,-8.070190373007271,9.929809626992729,TRUE
Eastern Asia,0.013465407831605014,Eastern Europe,0.05540937935304133,19.28246401485838,4,-15.28246401485838,-10.28246401485838,4.71753598514162,TRUE
Northern Africa,0.003637207862559975,Northern America,0.2571970283237889,24.176520662436154,10,-14.176520662436154,-6.176520662436154,9.823479337563846,TRUE
Caribbean,0.0023603157405974306,South America,0.01984986844141774,1.2108419749264818,15,13.789158025073519,1.7891580250735182,10.789158025073519,TRUE
Western Europe,0.39030335861321774,Sub-Saharan Africa,0.002321622039931899,23.418201516793065,10,-13.418201516793065,-13.418201516793065,-0.41820151679306505,FALSE
Western Asia,0.007932208636433988,Northern America,0.2571970283237889,52.72539080637672,66,13.274609193623277,-0.7253908063767227,22.274609193623277,FALSE
Eastern Europe,0.06059433524222257,Eastern Asia,0.010021668472372697,15.693932827735644,3,-12.693932827735644,-8.693932827735644,4.306067172264356,TRUE
Central America,0.002012072434607646,Western Europe,0.3837254295000774,19.953722334004027,8,-11.953722334004027,-7.953722334004027,4.046277665995973,TRUE
South America,0.013658876334932672,Northern America,0.2571970283237889,90.79055099829748,79,-11.790550998297476,-10.790550998297476,18.209449001702524,TRUE
Southern Asia,0.008086983439096114,Northern America,0.2571970283237889,53.754178919671865,42,-11.754178919671865,5.245821080328135,29.270821080328,TRUE
Western Asia,0.007932208636433988,Western Europe,0.3837254295000774,78.66371304751586,67,-11.663713047515856,-25.663713047515856,-0.6637130475158557,FALSE
Northern Europe,0.24651756694010216,Caribbean,0.002437703141928494,15.530606717226435,4,-11.530606717226435,-7.530606717226435,5.469393282773565,TRUE
Northern America,0.17563070732084818,Australia and New Zealand,0.00398545116854976,18.08996285404736,7,-11.08996285404736,-4.089962854047361,10.91003714595264,TRUE
South-Eastern Asia,0.001315585822628076,South-Eastern Asia,0.001238198421297013,0.04209874632409844,11,10.957901253675901,-0.04209874632409844,1.9579012536759015,TRUE
Eastern Europe,0.06059433524222257,Southern Asia,0.007622659031109735,11.937084042717846,1,-10.937084042717846,-6.937084042717846,4.062915957282154,TRUE
Northern Africa,0.003637207862559975,Northern Europe,0.18851570964247022,17.7204767063922,7,-10.720476706392201,-9.720476706392201,3.2795232936077987,TRUE
Western Europe,0.39030335861321774,Western Asia,0.0038306763658876334,38.64003250270856,28,-10.640032502708557,-14.640032502708557,2.359967497291443,FALSE
Western Europe,0.39030335861321774,Caribbean,0.002437703141928494,24.58911159263272,14,-10.589111592632719,-6.589111592632719,7.410888407367281,TRUE
Southern Asia,0.008086983439096114,Southern Europe,0.05985915492957746,12.510563380281688,2,-10.510563380281688,-8.510563380281688,1.4894366197183118,TRUE
Australia and New Zealand,0.006461848011143786,Northern America,0.2571970283237889,42.95190373007274,33,-9.951903730072743,-3.9519037300727433,18.048096269927257,TRUE
Southern Europe,0.06546974152607955,Southern Asia,0.007622659031109735,12.89753908063767,3,-9.89753908063767,-6.897539080637671,6.102460919362329,TRUE
Northern America,0.17563070732084818,Western Asia,0.0038306763658876334,17.38744002476397,27,9.612559975236032,-2.3874400247639684,12.637559975235895,FALSE
Caribbean,0.0023603157405974306,Northern Europe,0.18851570964247022,11.499458288190683,2,-9.499458288190683,-8.499458288190683,1.5005417118093174,TRUE
Western Asia,0.007932208636433988,Northern Europe,0.18851570964247022,38.645720476706394,30,-8.645720476706394,-15.645720476706394,3.3792795232934694,FALSE
