geo_level,n_edges,n_clusters,observed_rate,expected_rate,homophily_ratio,assortativity,ratio_ci_lo,ratio_ci_hi,null_ci_lo,null_ci_hi,p_value,test_type
continent,25363,10896,0.792493001616528,0.5778505639571452,1.3714497329370112,0.5084513192091372,0.9350421462770548,0.9773455708751118,0.5403146315498956,0.5647596893112014,9.999000099990002e-5,clustered_nominator
subregion,25363,10896,0.6071442652683042,0.2507739559458897,2.421081818397879,0.4756512565874938,0.8831233569673931,0.9722689762304361,0.22146433781492725,0.24381973741276664,9.999000099990002e-5,clustered_nominator
country,25363,10896,0.4673343058786421,0.09778164722090857,4.779366263107014,0.40960445719088434,0.8935354457981222,1.0487751329065504,0.08737136774040925,0.10255096005992982,9.999000099990002e-5,clustered_nominator
