geo_level,n_edges,observed_rate,expected_rate,homophily_ratio,assortativity,ratio_ci_lo,ratio_ci_hi,null_ci_lo,null_ci_hi,p_value,finding,edge_type,prize,decade
continent,6247,0.8296782455578677,0.5884913441019323,1.4098393355708552,0.5861040782473319,0.9855002725782768,1.0148775923239168,0.5799583800224107,0.5972466784056347,9.999000099990002e-5,prize,NA,Physiology/Medicine,NA
subregion,6247,0.6729630222506803,0.27306586911997893,2.4644713908020326,0.5501147024787361,0.9655053236562673,1.0358517953252122,0.2636465503441652,0.2828557707699696,9.999000099990002e-5,prize,NA,Physiology/Medicine,NA
country,6247,0.5516247798943493,0.10683738727645138,5.163218550702391,0.4979915037661439,0.9319564534349642,1.0668054579512773,0.0995677925404194,0.11397470785977269,9.999000099990002e-5,prize,NA,Physiology/Medicine,NA
continent,5658,0.8055850123718629,0.5862413739633732,1.374152436436862,0.5301246296894676,0.9846384066263255,1.0153895142429468,0.5772357723577236,0.5952633439377872,9.999000099990002e-5,prize,NA,Peace,NA
subregion,5658,0.5758218451749735,0.2404988179163916,2.3942813946601413,0.4415042861930245,0.9597702582646239,1.0406084882869124,0.23082361258395193,0.25026511134676566,9.999000099990002e-5,prize,NA,Peace,NA
country,5658,0.3725698126546483,0.07084870366892611,5.258668025820994,0.3247276414262391,0.913032494046719,1.09015081939458,0.06468716861081654,0.07723577235772358,9.999000099990002e-5,prize,NA,Peace,NA
continent,5485,0.7179580674567001,0.5220110535985688,1.3753694725568326,0.40994047107852655,0.9793133573004974,1.0212240573276228,0.5112123974475843,0.5330902461257976,9.999000099990002e-5,prize,NA,Physics,NA
subregion,5485,0.5593436645396536,0.266873756137772,2.0959110878287177,0.3989352595824461,0.9591457520572098,1.041124021463809,0.2559708295350957,0.277848678213309,9.999000099990002e-5,prize,NA,Physics,NA
country,5485,0.44503190519598906,0.1478336292981023,3.0103563533476874,0.3487561655983862,0.9446673357903844,1.0556595815098815,0.1396536007292616,0.1560619872379216,9.999000099990002e-5,prize,NA,Physics,NA
continent,5010,0.7638722554890219,0.5546532483934327,1.3772068543754092,0.46978900450231553,0.9817142144593981,1.0191402695560907,0.5445109780439121,0.5652694610778443,9.999000099990002e-5,prize,NA,Chemistry,NA
subregion,5010,0.590818363273453,0.2792290070557488,2.115891788976976,0.43230007765005113,0.960729244724681,1.0407900151184046,0.2682634730538922,0.2906187624750499,9.999000099990002e-5,prize,NA,Chemistry,NA
country,5010,0.4724550898203593,0.13298090445854793,3.5528040040337547,0.3915417631601415,0.936607392698379,1.0656911038715529,0.12455089820359282,0.14171656686626746,9.999000099990002e-5,prize,NA,Chemistry,NA
continent,3444,0.8684668989547039,0.7211183650537352,1.2043333536374279,0.528355099213901,0.9897196199400862,1.0106575451788513,0.7137049941927991,0.7288037166085947,9.999000099990002e-5,prize,NA,Literature,NA
subregion,3444,0.64198606271777,0.22867194170946187,2.80745446038781,0.5358473824021375,0.9447065212702536,1.0564460022807138,0.21602787456445993,0.2415795586527294,9.999000099990002e-5,prize,NA,Literature,NA
country,3444,0.5020325203252033,0.0585202800136513,8.578778505640981,0.4710799721931162,0.8732591191398569,1.1263057957087927,0.05110336817653891,0.06591173054587689,9.999000099990002e-5,prize,NA,Literature,NA
