from,p_from,to,p_to,expected,obs,o_minus_e
Australia and New Zealand,0.004369300911854103,Australia and New Zealand,7.598784194528875e-4,0.017477203647416412,3,2.9825227963525838
Australia and New Zealand,0.004369300911854103,Caribbean,0.0028495440729483282,0.06553951367781155,0,-0.06553951367781155
Australia and New Zealand,0.004369300911854103,Central America,0.0011398176291793312,0.02621580547112462,0,-0.02621580547112462
Australia and New Zealand,0.004369300911854103,Eastern Asia,0.0013297872340425532,0.030585106382978722,0,-0.030585106382978722
Australia and New Zealand,0.004369300911854103,Eastern Europe,0.05661094224924012,1.3020516717325228,1,-0.3020516717325228
Australia and New Zealand,0.004369300911854103,Northern Africa,3.7993920972644377e-4,0.008738601823708206,0,-0.008738601823708206
Australia and New Zealand,0.004369300911854103,Northern America,0.06667933130699089,1.5336246200607904,1,-0.5336246200607904
Australia and New Zealand,0.004369300911854103,Northern Europe,0.21124620060790272,4.858662613981763,6,1.141337386018237
Australia and New Zealand,0.004369300911854103,South America,0.0024696048632218844,0.05680091185410334,0,-0.05680091185410334
Australia and New Zealand,0.004369300911854103,South-Eastern Asia,0.0013297872340425532,0.030585106382978722,0,-0.030585106382978722
Australia and New Zealand,0.004369300911854103,Southern Asia,0.0020896656534954406,0.048062310030395135,0,-0.048062310030395135
Australia and New Zealand,0.004369300911854103,Southern Europe,0.09479483282674772,2.1802811550151975,5,2.8197188449848025
Australia and New Zealand,0.004369300911854103,Western Asia,1.8996960486322188e-4,0.004369300911854103,0,-0.004369300911854103
Australia and New Zealand,0.004369300911854103,Western Europe,0.5581306990881459,12.837006079027356,7,-5.837006079027356
Caribbean,3.7993920972644377e-4,Australia and New Zealand,7.598784194528875e-4,0.001519756838905775,0,-0.001519756838905775
Caribbean,3.7993920972644377e-4,Caribbean,0.0028495440729483282,0.0056990881458966565,0,-0.0056990881458966565
Caribbean,3.7993920972644377e-4,Central America,0.0011398176291793312,0.0022796352583586625,0,-0.0022796352583586625
Caribbean,3.7993920972644377e-4,Eastern Asia,0.0013297872340425532,0.0026595744680851063,0,-0.0026595744680851063
Caribbean,3.7993920972644377e-4,Eastern Europe,0.05661094224924012,0.11322188449848024,0,-0.11322188449848024
Caribbean,3.7993920972644377e-4,Northern Africa,3.7993920972644377e-4,7.598784194528875e-4,0,-7.598784194528875e-4
Caribbean,3.7993920972644377e-4,Northern America,0.06667933130699089,0.13335866261398177,0,-0.13335866261398177
Caribbean,3.7993920972644377e-4,Northern Europe,0.21124620060790272,0.42249240121580545,0,-0.42249240121580545
Caribbean,3.7993920972644377e-4,South America,0.0024696048632218844,0.004939209726443769,1,0.9950607902735562
Caribbean,3.7993920972644377e-4,South-Eastern Asia,0.0013297872340425532,0.0026595744680851063,0,-0.0026595744680851063
Caribbean,3.7993920972644377e-4,Southern Asia,0.0020896656534954406,0.004179331306990881,0,-0.004179331306990881
Caribbean,3.7993920972644377e-4,Southern Europe,0.09479483282674772,0.18958966565349544,1,0.8104103343465046
Caribbean,3.7993920972644377e-4,Western Asia,1.8996960486322188e-4,3.7993920972644377e-4,0,-3.7993920972644377e-4
Caribbean,3.7993920972644377e-4,Western Europe,0.5581306990881459,1.1162613981762919,0,-1.1162613981762919
Eastern Asia,0.001899696048632219,Australia and New Zealand,7.598784194528875e-4,0.007598784194528876,0,-0.007598784194528876
Eastern Asia,0.001899696048632219,Caribbean,0.0028495440729483282,0.028495440729483283,0,-0.028495440729483283
Eastern Asia,0.001899696048632219,Central America,0.0011398176291793312,0.011398176291793313,0,-0.011398176291793313
Eastern Asia,0.001899696048632219,Eastern Asia,0.0013297872340425532,0.013297872340425532,2,1.9867021276595744
Eastern Asia,0.001899696048632219,Eastern Europe,0.05661094224924012,0.5661094224924011,0,-0.5661094224924011
Eastern Asia,0.001899696048632219,Northern Africa,3.7993920972644377e-4,0.003799392097264438,0,-0.003799392097264438
Eastern Asia,0.001899696048632219,Northern America,0.06667933130699089,0.6667933130699089,3,2.333206686930091
Eastern Asia,0.001899696048632219,Northern Europe,0.21124620060790272,2.1124620060790273,0,-2.1124620060790273
Eastern Asia,0.001899696048632219,South America,0.0024696048632218844,0.024696048632218845,0,-0.024696048632218845
Eastern Asia,0.001899696048632219,South-Eastern Asia,0.0013297872340425532,0.013297872340425532,0,-0.013297872340425532
Eastern Asia,0.001899696048632219,Southern Asia,0.0020896656534954406,0.020896656534954407,0,-0.020896656534954407
Eastern Asia,0.001899696048632219,Southern Europe,0.09479483282674772,0.9479483282674772,0,-0.9479483282674772
Eastern Asia,0.001899696048632219,Western Asia,1.8996960486322188e-4,0.001899696048632219,0,-0.001899696048632219
Eastern Asia,0.001899696048632219,Western Europe,0.5581306990881459,5.581306990881459,5,-0.5813069908814592
Eastern Europe,0.08339665653495441,Australia and New Zealand,7.598784194528875e-4,0.33358662613981765,0,-0.33358662613981765
Eastern Europe,0.08339665653495441,Caribbean,0.0028495440729483282,1.2509498480243162,0,-1.2509498480243162
Eastern Europe,0.08339665653495441,Central America,0.0011398176291793312,0.5003799392097265,0,-0.5003799392097265
Eastern Europe,0.08339665653495441,Eastern Asia,0.0013297872340425532,0.5837765957446809,1,0.4162234042553191
Eastern Europe,0.08339665653495441,Eastern Europe,0.05661094224924012,24.852203647416417,156,131.14779635258358
Eastern Europe,0.08339665653495441,Northern Africa,3.7993920972644377e-4,0.16679331306990883,0,-0.16679331306990883
Eastern Europe,0.08339665653495441,Northern America,0.06667933130699089,29.272226443769004,23,-6.272226443769004
Eastern Europe,0.08339665653495441,Northern Europe,0.21124620060790272,92.7370820668693,42,-50.737082066869306
Eastern Europe,0.08339665653495441,South America,0.0024696048632218844,1.0841565349544073,0,-1.0841565349544073
Eastern Europe,0.08339665653495441,South-Eastern Asia,0.0013297872340425532,0.5837765957446809,1,0.4162234042553191
Eastern Europe,0.08339665653495441,Southern Asia,0.0020896656534954406,0.9173632218844985,0,-0.9173632218844985
Eastern Europe,0.08339665653495441,Southern Europe,0.09479483282674772,41.61493161094226,14,-27.614931610942257
Eastern Europe,0.08339665653495441,Western Asia,1.8996960486322188e-4,0.08339665653495441,0,-0.08339665653495441
Eastern Europe,0.08339665653495441,Western Europe,0.5581306990881459,245.0193768996961,202,-43.01937689969611
Northern Africa,9.498480243161094e-4,Australia and New Zealand,7.598784194528875e-4,0.003799392097264438,0,-0.003799392097264438
Northern Africa,9.498480243161094e-4,Caribbean,0.0028495440729483282,0.014247720364741642,0,-0.014247720364741642
Northern Africa,9.498480243161094e-4,Central America,0.0011398176291793312,0.0056990881458966565,0,-0.0056990881458966565
Northern Africa,9.498480243161094e-4,Eastern Asia,0.0013297872340425532,0.006648936170212766,0,-0.006648936170212766
Northern Africa,9.498480243161094e-4,Eastern Europe,0.05661094224924012,0.2830547112462006,0,-0.2830547112462006
Northern Africa,9.498480243161094e-4,Northern Africa,3.7993920972644377e-4,0.001899696048632219,0,-0.001899696048632219
Northern Africa,9.498480243161094e-4,Northern America,0.06667933130699089,0.3333966565349544,0,-0.3333966565349544
Northern Africa,9.498480243161094e-4,Northern Europe,0.21124620060790272,1.0562310030395137,2,0.9437689969604863
Northern Africa,9.498480243161094e-4,South America,0.0024696048632218844,0.012348024316109422,0,-0.012348024316109422
Northern Africa,9.498480243161094e-4,South-Eastern Asia,0.0013297872340425532,0.006648936170212766,0,-0.006648936170212766
Northern Africa,9.498480243161094e-4,Southern Asia,0.0020896656534954406,0.010448328267477203,0,-0.010448328267477203
Northern Africa,9.498480243161094e-4,Southern Europe,0.09479483282674772,0.4739741641337386,0,-0.4739741641337386
Northern Africa,9.498480243161094e-4,Western Asia,1.8996960486322188e-4,9.498480243161094e-4,0,-9.498480243161094e-4
Northern Africa,9.498480243161094e-4,Western Europe,0.5581306990881459,2.7906534954407296,3,0.2093465045592704
Northern America,0.05851063829787234,Australia and New Zealand,7.598784194528875e-4,0.23404255319148937,0,-0.23404255319148937
Northern America,0.05851063829787234,Caribbean,0.0028495440729483282,0.8776595744680851,2,1.122340425531915
Northern America,0.05851063829787234,Central America,0.0011398176291793312,0.35106382978723405,4,3.648936170212766
Northern America,0.05851063829787234,Eastern Asia,0.0013297872340425532,0.4095744680851064,0,-0.4095744680851064
Northern America,0.05851063829787234,Eastern Europe,0.05661094224924012,17.43617021276596,2,-15.436170212765958
Northern America,0.05851063829787234,Northern Africa,3.7993920972644377e-4,0.11702127659574468,0,-0.11702127659574468
Northern America,0.05851063829787234,Northern America,0.06667933130699089,20.537234042553195,217,196.4627659574468
Northern America,0.05851063829787234,Northern Europe,0.21124620060790272,65.06382978723404,28,-37.06382978723404
Northern America,0.05851063829787234,South America,0.0024696048632218844,0.7606382978723404,0,-0.7606382978723404
Northern America,0.05851063829787234,South-Eastern Asia,0.0013297872340425532,0.4095744680851064,0,-0.4095744680851064
Northern America,0.05851063829787234,Southern Asia,0.0020896656534954406,0.6436170212765957,0,-0.6436170212765957
Northern America,0.05851063829787234,Southern Europe,0.09479483282674772,29.1968085106383,4,-25.1968085106383
Northern America,0.05851063829787234,Western Asia,1.8996960486322188e-4,0.05851063829787234,0,-0.05851063829787234
Northern America,0.05851063829787234,Western Europe,0.5581306990881459,171.90425531914894,51,-120.90425531914894
Northern Europe,0.25474924012158057,Australia and New Zealand,7.598784194528875e-4,1.0189969604863223,1,-0.018996960486322267
Northern Europe,0.25474924012158057,Caribbean,0.0028495440729483282,3.8212386018237083,3,-0.8212386018237083
Northern Europe,0.25474924012158057,Central America,0.0011398176291793312,1.5284954407294833,2,0.4715045592705167
Northern Europe,0.25474924012158057,Eastern Asia,0.0013297872340425532,1.7832446808510638,0,-1.7832446808510638
Northern Europe,0.25474924012158057,Eastern Europe,0.05661094224924012,75.915273556231,46,-29.915273556231
Northern Europe,0.25474924012158057,Northern Africa,3.7993920972644377e-4,0.5094984802431611,2,1.490501519756839
Northern Europe,0.25474924012158057,Northern America,0.06667933130699089,89.41698328267478,47,-42.41698328267478
Northern Europe,0.25474924012158057,Northern Europe,0.21124620060790272,283.28115501519756,740,456.71884498480244
Northern Europe,0.25474924012158057,South America,0.0024696048632218844,3.311740121580547,1,-2.311740121580547
Northern Europe,0.25474924012158057,South-Eastern Asia,0.0013297872340425532,1.7832446808510638,1,-0.7832446808510638
Northern Europe,0.25474924012158057,Southern Asia,0.0020896656534954406,2.802241641337386,6,3.197758358662614
Northern Europe,0.25474924012158057,Southern Europe,0.09479483282674772,127.1198708206687,53,-74.1198708206687
Northern Europe,0.25474924012158057,Western Asia,1.8996960486322188e-4,0.25474924012158057,0,-0.25474924012158057
Northern Europe,0.25474924012158057,Western Europe,0.5581306990881459,748.4532674772037,439,-309.45326747720367
South America,0.0020896656534954406,Australia and New Zealand,7.598784194528875e-4,0.008358662613981762,0,-0.008358662613981762
South America,0.0020896656534954406,Caribbean,0.0028495440729483282,0.031344984802431614,1,0.9686550151975684
South America,0.0020896656534954406,Central America,0.0011398176291793312,0.012537993920972644,0,-0.012537993920972644
South America,0.0020896656534954406,Eastern Asia,0.0013297872340425532,0.014627659574468085,0,-0.014627659574468085
South America,0.0020896656534954406,Eastern Europe,0.05661094224924012,0.6227203647416413,0,-0.6227203647416413
South America,0.0020896656534954406,Northern Africa,3.7993920972644377e-4,0.004179331306990881,0,-0.004179331306990881
South America,0.0020896656534954406,Northern America,0.06667933130699089,0.7334726443768997,0,-0.7334726443768997
