term,estimate,std.error,statistic,p.value
(Intercept),-0.14512526181055463,0.3035794638000084,-0.47804703254288644,0.63261673016322
subregion_cEastern Asia,-0.7446680918944615,0.3305385026523102,-2.252893644519742,0.02426585569437407
subregion_cEastern Europe,-0.41302318767481966,0.2789477589755397,-1.480647090307102,0.1387006399604545
subregion_cNorthern America,0.09829817067764673,0.26147317226473804,0.3759397946115909,0.7069616550762674
subregion_cNorthern Europe,0.05259721736561393,0.2623984144842095,0.200447923700313,0.8411302822435275
subregion_cSouth America,-0.3573385836508537,0.3103851323591121,-1.1512748079615391,0.24961919771393498
subregion_cSouthern Asia,-0.7820561550054878,0.3522301079232992,-2.2202989960636375,0.026398478040201238
subregion_cSouthern Europe,-0.14494207372596002,0.2733386965701324,-0.5302654748292152,0.5959278806320677
subregion_cWestern Asia,-0.6867462989735876,0.3862601762234723,-1.777937103659032,0.07541418548989422
subregion_cWestern Europe,-0.08283330609954932,0.2597777971017791,-0.31886214689508596,0.7498310495433609
subregion_cOther,-0.7834881070145591,0.3282709847577264,-2.386711416462214,0.016999829758068356
decade_main1910s,0.16159944000396884,0.13514256673483713,1.1957700960426678,0.2317862885866945
decade_main1920s,0.119679467554609,0.131682271550946,0.9088502662129937,0.3634291690581115
decade_main1930s,-0.048107878547265615,0.1229262733243767,-0.39135554382519183,0.6955344479857697
decade_main1940s,0.015481745809205237,0.1448437331552435,0.1068858518898564,0.9148795374423686
decade_main1950s,0.36679117811984235,0.12217577231001318,3.002159685057143,0.0026807151643822476
decade_main1960s,1.6605580125245671,0.11505990707254955,14.432116753557983,3.24952940036466e-47
decade_main1970s,1.5343922687517908,0.11950636999906698,12.83941825664833,9.861269018752913e-38
prize_mainLiterature,0.9408038132826625,0.08257644943515816,11.393125034049977,4.5246551961179384e-30
prize_mainPeace,-0.6126557057358376,0.0863195311595661,-7.097532823751232,1.270036492919658e-12
prize_mainPhysics,0.33820776163976335,0.08955284627390193,3.7766277199647873,1.5896606091312607e-4
prize_mainPhysiology/Medicine,-0.4876276861502697,0.09661040599516327,-5.047361939196099,4.479522501616269e-7
rolenominator only,-3.607682383382194,0.10920213220031409,-33.03673939959771,2.4119520382239978e-239
rolenominee only,-0.6920380838489422,0.10742614593553562,-6.441989311095838,1.179175875734867e-10
log1p(n_records),0.8310467494509237,0.044511371975385884,18.67043662258894,8.614564074578735e-78
