geo_level,n_edges,observed_rate,expected_rate,homophily_ratio,assortativity,ratio_ci_lo,ratio_ci_hi,null_ci_lo,null_ci_hi,p_value,test_type
continent,25844,0.7931047825414023,0.5797153625262581,1.3680934365534927,0.50772595757435,1.072942479026072,1.0872928761016927,0.6220012381984213,0.6303203838415106,9.999000099990002e-5,blockwise_prize_year
subregion,25844,0.6075297941495125,0.249238542286783,2.437543521862146,0.4772371412806236,1.2110870017226039,1.2483464403091216,0.3018495588918124,0.31113604705154,9.999000099990002e-5,blockwise_prize_year
country,25844,0.4678455347469432,0.09649864888855711,4.8482081369578705,0.4110086668952663,1.450332382050833,1.5245130540661505,0.13995511530722798,0.14711344993035133,9.999000099990002e-5,blockwise_prize_year
