layer,n,pct_female,pct_europe,eff_continents,eff_subregions
Governing bodies,6935,9.30199019325065,97.62174405436014,1.142235259085061,1.6533390849381118
Vetting bodies,252,11.11111111111111,98.93048128342247,1.0609578536052742,1.2306006581988285
Nominators,11650,2.3402113739305483,71.31097293983711,2.242655679797907,6.302906875669027
Nominees,4006,4.699666295884316,65.68762009332967,2.303699144447299,5.798447539874891
Laureates (1901--1975),452,3.409090909090909,70.22727272727273,2.2895996075278355,5.970899178563095
