from,p_from,to,p_to,expected,obs,o_minus_e
Australia and New Zealand,0.010553219556434991,Australia and New Zealand,0.007337785472833704,0.9392365405227141,44,43.060763459477286
Australia and New Zealand,0.010553219556434991,Caribbean,0.0017313875834776156,0.2216176106851348,0,-0.2216176106851348
Australia and New Zealand,0.010553219556434991,Central America,0.002885645972462693,0.3693626844752247,0,-0.3693626844752247
Australia and New Zealand,0.010553219556434991,Central Asia,8.244702778464837e-5,0.010553219556434991,0,-0.010553219556434991
Australia and New Zealand,0.010553219556434991,Eastern Asia,0.011295242806496826,1.4457910792315938,0,-1.4457910792315938
Australia and New Zealand,0.010553219556434991,Eastern Europe,0.05771291944925386,7.387253689504494,1,-6.387253689504494
Australia and New Zealand,0.010553219556434991,Northern Africa,0.0015664935279083188,0.2005111715722648,0,-0.2005111715722648
Australia and New Zealand,0.010553219556434991,Northern America,0.37323769478110314,47.7744249319812,31,-16.7744249319812
Australia and New Zealand,0.010553219556434991,Northern Europe,0.1719844999587765,22.01401599472339,41,18.98598400527661
Australia and New Zealand,0.010553219556434991,South America,0.026383048891087477,3.377030258059197,0,-3.377030258059197
Australia and New Zealand,0.010553219556434991,South-Eastern Asia,0.001813834611262264,0.2321708302415698,2,1.7678291697584303
Australia and New Zealand,0.010553219556434991,Southern Asia,0.010388325500865693,1.3297056641108087,0,-1.3297056641108087
Australia and New Zealand,0.010553219556434991,Southern Europe,0.04922087558743507,6.300272075191689,5,-1.300272075191689
Australia and New Zealand,0.010553219556434991,Sub-Saharan Africa,0.004617033555940308,0.5909802951603594,1,0.40901970483964056
Australia and New Zealand,0.010553219556434991,Western Asia,0.00651331519498722,0.8337043449583642,0,-0.8337043449583642
Australia and New Zealand,0.010553219556434991,Western Europe,0.27322945007832466,34.97336961002556,3,-31.973369610025557
Caribbean,0.002473410833539451,Australia and New Zealand,0.007337785472833704,0.22013356418501115,0,-0.22013356418501115
Caribbean,0.002473410833539451,Caribbean,0.0017313875834776156,0.05194162750432848,13,12.948058372495671
Caribbean,0.002473410833539451,Central America,0.002885645972462693,0.0865693791738808,1,0.9134306208261191
Caribbean,0.002473410833539451,Central Asia,8.244702778464837e-5,0.002473410833539451,0,-0.002473410833539451
Caribbean,0.002473410833539451,Eastern Asia,0.011295242806496826,0.33885728419490485,0,-0.33885728419490485
Caribbean,0.002473410833539451,Eastern Europe,0.05771291944925386,1.731387583477616,0,-1.731387583477616
Caribbean,0.002473410833539451,Northern Africa,0.0015664935279083188,0.04699480583724957,0,-0.04699480583724957
Caribbean,0.002473410833539451,Northern America,0.37323769478110314,11.197130843433095,5,-6.197130843433095
Caribbean,0.002473410833539451,Northern Europe,0.1719844999587765,5.159534998763295,0,-5.159534998763295
Caribbean,0.002473410833539451,South America,0.026383048891087477,0.7914914667326244,9,8.208508533267375
Caribbean,0.002473410833539451,South-Eastern Asia,0.001813834611262264,0.05441503833786793,0,-0.05441503833786793
Caribbean,0.002473410833539451,Southern Asia,0.010388325500865693,0.3116497650259708,0,-0.3116497650259708
Caribbean,0.002473410833539451,Southern Europe,0.04922087558743507,1.4766262676230524,2,0.5233737323769476
Caribbean,0.002473410833539451,Sub-Saharan Africa,0.004617033555940308,0.13851100667820926,0,-0.13851100667820926
Caribbean,0.002473410833539451,Western Asia,0.00651331519498722,0.19539945584961663,0,-0.19539945584961663
Caribbean,0.002473410833539451,Western Europe,0.27322945007832466,8.19688350234974,0,-8.19688350234974
Central America,0.002885645972462693,Australia and New Zealand,0.007337785472833704,0.25682249154917963,0,-0.25682249154917963
Central America,0.002885645972462693,Caribbean,0.0017313875834776156,0.06059856542171655,2,1.9394014345782835
Central America,0.002885645972462693,Central America,0.002885645972462693,0.10099760903619426,12,11.899002390963807
Central America,0.002885645972462693,Central Asia,8.244702778464837e-5,0.002885645972462693,0,-0.002885645972462693
Central America,0.002885645972462693,Eastern Asia,0.011295242806496826,0.39533349822738895,1,0.604666501772611
Central America,0.002885645972462693,Eastern Europe,0.05771291944925386,2.019952180723885,0,-2.019952180723885
Central America,0.002885645972462693,Northern Africa,0.0015664935279083188,0.05482727347679116,0,-0.05482727347679116
Central America,0.002885645972462693,Northern America,0.37323769478110314,13.06331931733861,5,-8.06331931733861
Central America,0.002885645972462693,Northern Europe,0.1719844999587765,6.019457498557177,3,-3.019457498557177
Central America,0.002885645972462693,South America,0.026383048891087477,0.9234067111880617,1,0.07659328881193828
Central America,0.002885645972462693,South-Eastern Asia,0.001813834611262264,0.06348421139417924,1,0.9365157886058207
Central America,0.002885645972462693,Southern Asia,0.010388325500865693,0.36359139253029926,0,-0.36359139253029926
Central America,0.002885645972462693,Southern Europe,0.04922087558743507,1.7227306455602274,3,1.2772693544397726
Central America,0.002885645972462693,Sub-Saharan Africa,0.004617033555940308,0.16159617445791077,0,-0.16159617445791077
Central America,0.002885645972462693,Western Asia,0.00651331519498722,0.22796603182455272,0,-0.22796603182455272
Central America,0.002885645972462693,Western Europe,0.27322945007832466,9.563030752741364,7,-2.563030752741364
Eastern Asia,0.01657185258471432,Australia and New Zealand,0.007337785472833704,1.4748948800395745,0,-1.4748948800395745
Eastern Asia,0.01657185258471432,Caribbean,0.0017313875834776156,0.3480089042790007,0,-0.3480089042790007
Eastern Asia,0.01657185258471432,Central America,0.002885645972462693,0.5800148404650013,0,-0.5800148404650013
Eastern Asia,0.01657185258471432,Central Asia,8.244702778464837e-5,0.01657185258471432,0,-0.01657185258471432
Eastern Asia,0.01657185258471432,Eastern Asia,0.011295242806496826,2.270343804105862,79,76.72965619589414
Eastern Asia,0.01657185258471432,Eastern Europe,0.05771291944925386,11.600296809300026,4,-7.600296809300026
Eastern Asia,0.01657185258471432,Northern Africa,0.0015664935279083188,0.31486519910957206,0,-0.31486519910957206
Eastern Asia,0.01657185258471432,Northern America,0.37323769478110314,75.02077665100173,69,-6.020776651001725
Eastern Asia,0.01657185258471432,Northern Europe,0.1719844999587765,34.56888449171407,22,-12.568884491714073
Eastern Asia,0.01657185258471432,South America,0.026383048891087477,5.302992827108583,2,-3.302992827108583
Eastern Asia,0.01657185258471432,South-Eastern Asia,0.001813834611262264,0.36458075686371505,0,-0.36458075686371505
