geo_level,n_edges,observed_rate,expected_rate,homophily_ratio,assortativity,ratio_ci_lo,ratio_ci_hi,null_ci_lo,null_ci_hi,p_value,finding,edge_type,prize,decade
continent,1618,0.8065512978986403,0.49045541429010164,1.6444946357989836,0.620349803478244,0.9602336494090616,1.0408831947662531,0.47095179233621753,0.5105067985166872,9.999000099990002e-5,prize_temporal,NA,Physiology/Medicine,1930
continent,1448,0.6153314917127072,0.4507732135771192,1.3650578010830163,0.2996180852856023,0.9498718705628172,1.0509872632356332,0.4281767955801105,0.47375690607734805,9.999000099990002e-5,prize_temporal,NA,Physics,1960
continent,1394,0.6908177905308465,0.4871719132416238,1.41801645734084,0.3971035958199621,0.9541792983975746,1.0469467301862276,0.4648493543758967,0.5100430416068866,9.999000099990002e-5,prize_temporal,NA,Chemistry,1960
continent,1283,0.8784099766173032,0.6583125213764262,1.3343358178584976,0.6441484368332718,0.9767764416444192,1.0241352994211184,0.6430241621200312,0.6742010911925176,9.999000099990002e-5,prize_temporal,NA,Physiology/Medicine,1920
continent,1011,0.8417408506429278,0.6290742485478725,1.3380628003545934,0.5733400856168449,0.9685624970839359,1.0330285074417953,0.609297725024728,0.6498516320474778,9.999000099990002e-5,prize_temporal,NA,Peace,1930
continent,951,0.9064143007360673,0.8006923919809906,1.132038108284644,0.5304459263039937,0.9875456571662937,1.0151571435081552,0.790720294426919,0.8128286014721346,9.999000099990002e-5,prize_temporal,NA,Physiology/Medicine,1910
continent,927,0.6472491909385113,0.4746575525788144,1.3636129614329457,0.3285316829182928,0.9408929433887326,1.0590727333795877,0.44660194174757284,0.5026968716289104,9.999000099990002e-5,prize_temporal,NA,Physics,1970
continent,924,0.7467532467532467,0.45000913588575925,1.6594179700005465,0.5395437092312311,0.9403368496669765,1.0605845286525233,0.4231601731601732,0.4772727272727273,9.999000099990002e-5,prize_temporal,NA,Peace,1960
continent,919,0.9314472252448314,0.8793657296512626,1.0592262057042219,0.4317305144135924,0.9936432747435632,1.0084922402440897,0.8737758433079434,0.8868335146898803,9.999000099990002e-5,prize_temporal,NA,Physiology/Medicine,1900
continent,887,0.6426155580608793,0.4189107603375324,1.5340154011396114,0.38497494438769586,0.93386551613236,1.0684282706182908,0.39120631341600903,0.447576099210823,9.999000099990002e-5,prize_temporal,NA,Chemistry,1970
continent,862,0.9837587006960556,0.9008645517627489,1.0920162179443127,0.836170617143167,0.9941468399210017,1.008312144634902,0.8955916473317865,0.9083526682134571,9.999000099990002e-5,prize_temporal,NA,Peace,1900
continent,857,0.7269544924154026,0.5406284166769919,1.3446472105252552,0.40561080071728134,0.9517749657485945,1.0511126669756008,0.514556592765461,0.5682613768961493,9.999000099990002e-5,prize_temporal,NA,Chemistry,1950
continent,826,0.6973365617433414,0.4655520639741102,1.4978701969241424,0.4336895741290748,0.9335684039857068,1.0662573393989947,0.4346246973365617,0.49639830508474536,9.999000099990002e-5,prize_temporal,NA,Physics,1950
continent,798,0.7155388471177945,0.45799021362931136,1.5623452768729642,0.4751734008587471,0.9302931596091205,1.0698371335504886,0.42606516290726815,0.4899749373433584,9.999000099990002e-5,prize_temporal,NA,Physiology/Medicine,1940
continent,715,0.7426573426573426,0.521762433370825,1.4233630003973936,0.46189367941853754,0.946228133974162,1.0534494522715174,0.4937062937062937,0.5496503496503496,9.999000099990002e-5,prize_temporal,NA,Literature,1970
continent,711,0.5949367088607594,0.42447494762828847,1.40158261915081,0.2961847803670859,0.9244481105037258,1.0735526444559396,0.3924050632911392,0.45569620253164556,9.999000099990002e-5,prize_temporal,NA,Peace,1970
continent,686,0.8279883381924198,0.7043323785157546,1.1755647808457228,0.4182262469455222,0.9748081193280554,1.0265495269357017,0.6865889212827988,0.7230320699708455,9.999000099990002e-5,prize_temporal,NA,Peace,1920
continent,678,0.6814159292035398,0.4698053445410325,1.450421833470703,0.3991186679905794,0.9292745946046064,1.0705494485140905,0.4365781710914454,0.5029498525073747,9.999000099990002e-5,prize_temporal,NA,Physiology/Medicine,1950
continent,656,0.9496951219512195,0.8263635856632956,1.1492460926735169,0.7102861272449883,0.9869127762124101,1.0164279246598842,0.8155487804878049,0.8399390243902439,9.999000099990002e-5,prize_temporal,NA,Peace,1910
continent,651,0.8033794162826421,0.646050858775699,1.2435234863785942,0.4444948134716407,0.9653356318732491,1.0366658509771838,0.6236559139784946,0.6697388632872504,9.999000099990002e-5,prize_temporal,NA,Literature,1960
continent,617,0.6888168557536467,0.5686190039638656,1.2113855691629671,0.2786350184506339,0.9577071793853104,1.0460670679595503,0.5445705024311183,0.5948136142625607,9.999000099990002e-5,prize_temporal,NA,Physics,1930
continent,589,0.6587436332767402,0.42602494516042555,1.5462560133155614,0.4054508748317631,0.9165950594396369,1.0839732876851358,0.3904923599320883,0.4617996604414261,9.999000099990002e-5,prize_temporal,NA,Peace,1950
continent,492,0.8983739837398373,0.8153422235441867,1.1018366985027739,0.44965211749703526,0.9871659108757885,1.017080029387176,0.8048780487804879,0.8292682926829268,9.999000099990002e-5,prize_temporal,NA,Literature,1930
continent,487,0.8459958932238193,0.7307531760052958,1.1577040251107829,0.4280188546283102,0.9722465841949779,1.031255769940916,0.7104722792607803,0.7535934291581109,9.999000099990002e-5,prize_temporal,NA,Physics,1920
continent,468,0.9230769230769231,0.8313061582292351,1.1103934620707836,0.5440077947385518,0.9844460554933104,1.017860673564885,0.8183760683760684,0.8461538461538461,9.999000099990002e-5,prize_temporal,NA,Chemistry,1930
continent,443,0.9367945823927766,0.8240296765843393,1.1368456853105773,0.640817744831181,0.9834400024734873,1.0217914231827598,0.8103837471783296,0.8419864559819413,9.999000099990002e-5,prize_temporal,NA,Physics,1910
continent,439,0.7972665148063781,0.5109562528214362,1.5603420261597205,0.5854491824846947,0.9139146153221219,1.0833231781623203,0.46697038724373574,0.5535307517084282,9.999000099990002e-5,prize_temporal,NA,Chemistry,1940
continent,419,0.9880668257756563,0.9021764514897955,1.0952035204909494,0.8780132758821472,0.9946775934893647,1.0105501082790886,0.8973747016706444,0.9116945107398569,9.999000099990002e-5,prize_temporal,NA,Literature,1900
continent,418,0.9449760765550239,0.8365307570797371,1.129636978147535,0.6633989216441426,0.9809252746952013,1.0209630410092911,0.8205741626794258,0.854066985645933,9.999000099990002e-5,prize_temporal,NA,Chemistry,1920
continent,388,0.7577319587628866,0.48350648315442657,1.5671598730577423,0.5309369172400489,0.9008504032202669,1.0980780062921596,0.43556701030927836,0.5309278350515464,9.999000099990002e-5,prize_temporal,NA,Physics,1940
continent,349,0.9312320916905444,0.8760765510956395,1.0629574442164058,0.44507751424407105,0.9910034018386799,1.017168508157853,0.8681948424068768,0.8911174785100286,9.999000099990002e-5,prize_temporal,NA,Physics,1900
continent,319,0.9749216300940439,0.9215809593066107,1.0578795278361288,0.6802005012531323,0.9966517738134589,1.0102579413740522,0.9184952978056427,0.9310344827586207,9.999000099990002e-5,prize_temporal,NA,Literature,1920
continent,313,0.9808306709265175,0.9196582592452714,1.0665164598548247,0.7614026172023882,0.9970365601900154,1.0109325401229772,0.9169329073482428,0.9297124600638977,9.999000099990002e-5,prize_temporal,NA,Literature,1910
continent,307,0.8697068403908795,0.7425861282347822,1.1711864891124195,0.4938378467499283,0.9694090415499801,1.0352060353203407,0.7198697068403909,0.7687296416938111,9.999000099990002e-5,prize_temporal,NA,Literature,1940
continent,276,0.9311594202898551,0.8857908002520479,1.051218210919438,0.39724137931034487,0.9939534056553441,1.0144051218210919,0.8804347826086957,0.8985507246376812,9.999000099990002e-5,prize_temporal,NA,Chemistry,1900
continent,271,0.8745387453874539,0.8176495418090711,1.0695765125147798,0.31197729988052625,0.9793168912055157,1.0244467018601477,0.8007380073800738,0.8376383763837638,1.9998000199980003e-4,prize_temporal,NA,Chemistry,1910
continent,228,0.8596491228070176,0.6921360418590335,1.242023346303502,0.5441139715071233,0.9505280711506393,1.0519177320733741,0.6578947368421053,0.7280701754385965,9.999000099990002e-5,prize_temporal,NA,Literature,1950
continent,219,0.7625570776255708,0.5149600717249432,1.4808081626042595,0.5104672656149251,0.8955785893594622,1.1083893432666614,0.4611872146118721,0.5707762557077626,9.999000099990002e-5,prize_temporal,NA,Peace,1940
