person_id,lastname,firstname,gender,birth_year,death_year,full_name
2325,Debye,Petrus,M,1884,1966,Petrus Debye
7972,Runge,Carl,M,1856,NA,Carl Runge
5229,Langmuir,Irving,M,1881,1957,Irving Langmuir
6292,Millikan,Robert,M,1868,1953,Robert Millikan
7077,Pedersen,Peder,M,1874,NA,Peder Pedersen
1118,Bohr,Niels,M,1885,1962,Niels Bohr
7996,Rydberg,Johannes,M,1854,NA,Johannes Rydberg
8661,Sommerfeld,Arnold,M,1868,1951,Arnold Sommerfeld
711,Barkla,Charles,M,1877,1944,Charles Barkla
7128,Pérot,Alfred,M,1863,NA,Alfred Pérot
5721,Lyman,Theodore,M,1874,NA,Theodore Lyman
8091,Sanford,Fernando,M,1854,NA,Fernando Sanford
1336,Bridgman,Percy,M,1882,1961,Percy Bridgman
308,Adams,Walter,M,1876,NA,Walter Adams
729,Barus,Carl,M,1856,NA,Carl Barus
5691,Lumière,Auguste,M,1862,NA,Auguste Lumière
5692,Lumière,Louis,M,1865,NA,Louis Lumière
3374,Gehrcke,Ernst,M,1878,NA,Ernst Gehrcke
277,Abbot,Charles,M,1872,NA,Charles Abbot
546,Aston,Francis,M,1877,1945,Francis Aston
1934,Coolidge,William,M,1873,NA,William Coolidge
3587,Graetz,Leo,M,1856,NA,Leo Graetz
1046,Bjerknes,Vilhelm,M,1862,1951,Vilhelm Bjerknes
3167,Franck,James,M,1882,1964,James Franck
3294,Gaede,Wolfgang,M,1878,NA,Wolfgang Gaede
2903,Fajans,Kasimir,M,1887,NA,Kasimir Fajans
8646,Soddy,Frederick,M,1877,1956,Frederick Soddy
4110,Hertz,Gustav,M,1887,1975,Gustav Hertz
7710,Richardson,Owen,M,1879,1959,Owen Richardson
7702,Richard,Jules,M,1862,NA,Jules Richard
8483,Shaw,William,M,1854,NA,William Shaw
9325,Townsend,John,M,1868,NA,John Townsend
2200,de Broglie,Prince Louis-Victor,M,1892,1987,Prince Louis-Victor de Broglie
2198,de Broglie,Maurice,M,1875,NA,Maurice de Broglie
1918,Compton,Arthur,M,1892,1962,Arthur Compton
3060,Fleming,John,M,1849,NA,John Fleming
