person_id,name
6062,Edwin Mattison McMillan
8412,Robert Serber
8576,Dimitrij V Skobelzyn
7898,Bruno Benedetto Rossi
1081,Felix Bloch
9524,Balthasar van der Pol
8146,Helmut Scheffers
8148,Marcel Schein
10344,Henry I Yeagley
7311,Robert Wichard Pohl
4554,Karl G Jansky
2690,Bengt Edlén
3667,Walter Grotrian
1481,Vannevar Bush
4577,Harold Jeffreys
6692,Alfred C Nier
7361,Albert Portevin
7379,Cecil Frank Powell
8835,Jabez Curry Street
8957,Leo Szilard
5265,César M G Lattes
3332,Eugène Gardner
7484,Edward M Purcell
5024,Hendrik A Kramers
9409,Marle A Tuve
1318,Gregory Breit
3772,Lawrence R Hafstad
8783,Edward C Stevenson
9721,Georg von Békésy
5997,Joseph Mattauch
4997,Walther Kossel
1070,Marietta Blau
9970,Hertha Wambacher
588,Horace Welcome Babcock
7597,Grote Reber
395,Luis Walter Alvarez
983,Homi J Bhabha
4636,Ernst Pascual Jordan
5176,"Willis Eugene Lamb, Jr"
6562,Erwin Wilhelm Müller
6971,Wolfgang Kurt Hermann Panofsky
8294,Julian Schwinger
9311,Sin-Itiro Tomonaga
9551,John Hasbrouck Van Vleck
7666,Robert C Retherford
8924,William Francis G Swann
10464,Samuel Jackson Barnett
10467,Pavel Alekseyevich Cherenkov [Čerenkov]
10469,Georges Destriau
6467,Nevill Francis Mott
10474,Louis Néel
10476,Lars Onsager
10481,Polykarp Kusch
10484,H L Bradt
10485,Bernard Peters
10529,Edwin P Hubble
5398,Louis Leprince-Ringuet
5458,Willard Frank Libby
10538,Emilio Gino Segrè
10181,Eugene P Wigner
10541,John Bardeen
10542,Walter Houser Brattain
10546,Robert Jemison Van de Graaff
10550,Carl Friedrich von Weizsäcker
368,Hannes Alfvén
10475,Jean Laval
10573,Georges Lemaître
10578,Vladimir K Zworykin
10580,Martin Deutsch
3511,Maurice Goldhaber
10785,Lev Davidovich Landau
5597,Fritz London
10583,Ilya Romanovich Prigogine
10704,William Shockley
10587,Karl Lark-Horowitz
10588,James G Baker
16197,Edwin Herbert Land
10590,Edward H Linfoot
1342,Léon Brillouin
10622,Maria Goeppert-Mayer
13176,George Dixon Rochester
10539,Johannes Hans Daniel Jensen
10636,Bodo von Borries
7977,Ernst August Friedrich Ruska
10637,Max Knoll
10639,Hendrik Christoffel van de Hulst
10640,Christiaan Alexander (Lex) Muller
10641,Jan Hendrik Oort
10675,Jan Hendrick de Boer
10677,Satyendra Nath Bose
10680,Sydney Chapman
10683,Richard Phillips Feynman
10684,Lee de Forest
10685,Dorothy Crowfoot Hodgkin
4727,Alfred Kastler
10687,Mark Laurence E Oliphant
3559,Cornelis Jacobus Gorter
4491,Gustaf Ising
10703,Rolf Wideröe
10707,Gerald L Pearson
10549,Otto Haxel
10710,Hans E Suess
10746,Brebis Bleaney
10748,Subramanyan Chandrasekhar
10754,Carl-Gustaf Arvid Rossby
10768,Ernest O Wollan
10769,Clifford G Shull
11408,Clifford Butler
10870,Owen Chamberlain
13847,Chen Ning Yang
10775,Tsung-Dao Lee
10781,Igor Yevgenyevich Tamm
10956,Ilya M Frank
10783,Sergey I Vavilov
10788,Hans Busch
10790,Marcello Conversi
10791,Ettore Pancini
10792,Oreste Piccioni
10793,Aleksei A Naumov
10794,Gersh J Budker
10795,"Clyde Lorrain Cowan, Jr"
10796,Frederick Reines
10843,Jesse W Beams
10846,Seymour Benzer
10851,Heinz Neuber
7533,Boris Rajewsky
10706,Charles Hard Townes
10067,Victor Frederick Weisskopf
10859,Chien-Shiung Wu
10860,Yevgeny Konstantinovich F Zavoisky
13182,Harold Delos Babcock
10862,David Bohm
10863,David Pines
10494,William Hume-Rothery
10871,Clyde Wiegand
10872,Thomas Ypsilantis
10465,Alfred Landé
10876,Abdus Salam
10875,Robert Hofstadter
929,John Desmond Bernal
10921,Nikolai Nikolaevic Bogoljubov
2399,Friedrich Dessauer
10925,Donald A Glaser
10932,Abram F Joffé
10570,Nicholas Kemmer
10586,Charles Kittel
10939,Walter Hans Schottky
10530,Albrecht Otto Johannes Unsöld
10831,Carl Wilhelm Wagner
10946,Norbert Wiener
10947,Claude E Shannon
10953,Frederick Charles Frank
10954,Frank P Bowden
10955,André Lallemand
11024,James A Van Allen
11028,Anatole Abragam
11029,Albert W Overhauser
11030,Jean Brossel
11042,Abraham Pais
11043,Murray Gell-Mann
13302,Kazuhiko Nishijima
7146,Max Ferdinand Perutz
10997,John Cowdery Kendrew
11052,Nicolay Gennadijevitj Basov
11053,Aleksandr Mikhailovich Prokhorov [Prockorov]
11055,Nicolaas Bloembergen
11387,Louis H Gray
4021,Walter Heinrich Heitler
11391,Rudolf Ludwig Mössbauer
11404,Aage Niels A Bohr
11405,Ben Roy Mottelson
11409,Leon Neil Cooper
11410,John Robert Schrieffer
11412,Tadao Nakano
11414,Ladislaus Laszlo Marton
11415,Egon Orowan
7317,Michael Polanyi
11413,Frederick Seitz
13071,Nikolay Vasilyevich Belov
10755,Marian Danysz
13112,Bogdan Maglich [Maglić]
13119,Reinhold Rüdenberg
13131,Robert Doll
13132,M Näbauer
10630,Francis Bitter
13135,Joseph Weber
13136,Theodore H Maiman
13137,Ali Javan
13138,Max Delbrück
13140,William Martin Fairbank
13142,Walter Friedrich
10957,Leon Max Lederman
13160,Ernst D Courant
13161,Milton Stanley Livingston
13154,Arthur Leonard Schawlow
13167,James P Gordon
13171,Martin Ryle
13172,Alfred Charles Bernard Lovell
10566,Herbert Fröhlich
11016,Adriano Gozzini
13180,Melvin Schwartz
